car,move
C,-1
A,-1
B,-1
G,-1
F,1
J,-1
I,1
F,-1
H,-1
B,1
A,1
H,1
I,1
L,-1
A,-1
H,1
E,1
G,-1
L,-1
J,-2
E,2
H,-1
D,-1
I,-3
H,1
E,-2
J,2
L,2
G,1
A,1
F,1
J,1
E,2
F,-1
A,-1
G,1
E,-2
B,-1
J,-1
C,1
B,1
A,1
J,1
E,2
H,-1
I,1
C,-1
A,-1
G,-1
L,-1
A,1
D,1
L,1
H,-1
A,-1
G,-1
X,1
H,1
D,-1
I,-1
L,-1
X,1
I,1
X,1
G,1
A,1
L,1
D,1
H,-1
A,-1
D,-1
I,-1
B,-1
I,-1
X,1
