car,move
X,-2
A,-2
C,-1
C,1
X,2
X,-1
C,-1
D,-1
B,-1
A,1
A,-1
G,-1
H,-1
B,-1
F,2
E,2
J,-1
B,1
A,1
X,1
J,1
A,-1
A,1
X,-1
X,-1
X,2
E,-1
E,-1
K,-1
L,-1
L,-1
E,1
X,-2
K,-1
I,-3
L,2
L,-2
I,1
X,1
I,2
E,-1
L,2
L,-3
K,1
A,-1
E,1
L,2
J,-1
X,1
X,-2
B,-1
L,-3
L,3
L,-2
X,2
L,2
J,-1
L,1
L,-2
L,2
L,-2
L,-1
B,1
L,3
L,-1
J,1
B,-1
X,-1
L,-1
G,-1
G,1
L,2
K,1
K,-2
X,-1
I,-1
J,1
B,1
B,-1
L,-2
I,-1
L,-1
L,3
J,-1
X,1
L,-1
I,2
X,-1
L,-3
X,1
K,1
L,3
L,-3
K,1
X,1
K,-1
L,4
L,-4
L,2
L,2
L,-2
X,-2
L,-1
L,2
L,-3
L,1
J,1
G,-1
G,1
K,-1
L,2
I,-3
G,-1
K,1
K,-1
E,-1
I,3
E,1
X,1
L,1
L,-3
J,-2
I,-4
I,4
I,-4
I,1
L,3
L,-3
L,2
I,-1
G,1
G,-1
L,-1
I,2
L,-1
L,1
J,1
L,1
G,1
L,-1
I,-1
I,1
L,-1
J,-1
L,3
L,-2
I,-1
B,1
J,2
B,-1
L,-1
L,3
L,-1
I,2
X,-1
G,-1
I,-2
G,1
K,1
G,-1
X,2
G,1
B,1
B,-1
J,-2
L,-3
I,-1
K,1
K,-1
L,3
L,-3
L,1
L,1
L,-1
X,-1
I,1
J,2
B,1
X,1
J,-1
L,2
L,-3
L,2
A,1
X,-2
L,-1
K,1
K,-2
I,2
L,1
L,2
I,1
A,-1
L,-1
I,-1
B,-1
G,-1
I,-1
L,-1
I,1
G,1
L,-1
B,1
B,-1
B,1
L,2
L,-2
X,1
A,1
X,-1
J,1
E,-1
X,1
L,1
I,1
L,1
A,-1
L,-2
I,-3
B,-1
X,-1
K,2
K,-1
G,-1
K,-1
I,2
E,1
I,-1
L,1
L,2
L,-3
E,-1
G,1
I,1
E,1
I,-2
G,-1
L,1
L,1
I,2
L,-2
J,-1
L,1
L,-1
X,1
I,-2
I,1
L,-1
I,2
G,1
J,-1
I,-3
L,1
I,1
I,-1
I,3
G,-1
I,-4
I,3
L,3
L,-2
L,-1
L,3
J,2
J,-2
G,1
L,-3
J,1
I,1
L,2
I,-1
X,-1
J,1
J,-1
L,-3
I,-1
X,1
J,-1
J,1
L,2
J,-1
I,2
I,-3
I,1
L,2
I,-1
J,1
L,-3
L,1
L,1
X,-1
X,1
B,1
K,1
L,-3
K,-1
X,-1
I,2
L,1
J,1
I,-2
K,1
X,2
L,2
A,1
L,-1
J,-2
L,-2
X,-1
L,4
L,-4
J,1
X,1
A,-1
L,2
B,-1
G,-1
L,-1
X,-2
L,-1
K,-1
K,2
X,1
E,1
E,-1
F,-1
G,1
F,1
E,1
E,-1
K,-1
J,-1
X,1
L,2
L,-1
J,1
X,-2
X,1
L,1
L,-1
B,1
A,1
L,2
X,-1
L,1
L,-3
L,3
K,1
X,2
X,-1
J,1
J,-1
K,-1
L,-2
X,-1
A,-1
L,-2
A,1
A,-1
K,1
B,-1
X,1
L,1
X,1
J,1
X,-2
X,2
E,-1
F,-1
X,-1
B,1
A,1
H,3
X,1
X,-2
B,1
F,-1
G,2
A,1
A,-2
A,2
D,2
D,-1
H,-2
X,2
H,2
A,-1
H,-2
H,1
C,1
X,-2
H,-1
A,-1
H,2
G,-1
X,2
A,2
H,-1
C,-1
D,1
D,-1
G,1
D,1
G,-1
A,-2
B,-2
C,2
G,2
H,1
F,1
C,-2
D,-2
D,2
X,1
X,1
