car,move
C,-1
X,-1
A,-1
A,-1
A,2
X,1
A,-1
D,-1
X,-2
A,1
G,-1
X,1
G,1
D,1
C,1
X,1
X,-1
A,-1
B,-1
X,1
A,-1
X,-2
H,-1
X,2
B,-1
X,-2
X,1
X,-1
H,1
C,-1
B,1
B,-1
B,2
X,2
C,1
C,-1
X,-1
D,-1
B,-1
B,1
A,1
B,-1
A,-1
G,-1
X,-1
F,1
E,1
X,2
A,1
E,-1
B,1
E,1
A,1
E,-1
E,1
A,-2
J,-2
A,2
X,-1
A,-2
J,1
B,-1
B,-1
J,-1
G,-1
X,2
J,1
X,-3
X,2
J,1
H,-1
J,-2
F,1
J,2
X,-2
K,-2
I,-2
I,1
J,-1
G,1
L,-3
G,-1
L,1
L,-2
L,1
X,1
L,-1
L,3
G,1
G,-1
G,1
X,-1
B,1
B,-1
I,-2
L,-3
L,1
K,2
B,1
B,-1
F,-1
H,3
H,-3
H,1
B,2
A,1
H,1
X,2
H,-1
J,1
A,1
A,-1
J,-2
H,2
J,1
X,-2
J,1
X,2
E,-1
A,-1
B,-2
H,-3
E,1
H,2
G,-1
E,-1
F,-1
H,-2
H,3
G,4
G,-4
H,-1
H,-2
G,1
H,3
B,1
G,1
H,-3
H,2
G,-1
G,3
X,-2
G,-3
G,2
X,2
H,-2
G,1
G,-2
X,-1
H,1
H,1
H,1
H,-1
G,2
H,1
H,-2
G,-1
X,-1
X,3
X,-1
G,-1
X,-2
B,-1
D,1
X,1
H,-1
H,1
X,1
X,-2
G,1
H,-1
H,3
B,2
X,2
G,-1
X,-1
H,-2
H,2
X,-1
D,-1
G,-1
F,1
F,-1
F,1
B,-1
A,1
B,1
X,2
X,-1
A,1
X,-1
H,-1
E,1
A,-1
X,2
A,-1
E,-1
B,-1
X,-1
H,-2
H,1
X,-1
B,1
X,2
A,1
H,2
E,1
X,-2
J,-1
J,1
A,1
J,-1
J,1
H,-1
E,-1
X,2
X,-1
F,-1
G,1
D,2
H,1
X,1
X,-1
G,2
X,3
