car,move
C,-1
D,-1
X,-1
X,1
X,-2
X,1
A,-2
A,1
X,1
X,-2
X,1
X,1
A,-1
B,-2
G,-1
F,1
B,2
B,-1
X,-2
B,1
E,1
A,1
A,1
X,1
X,-1
X,2
E,-1
X,-2
X,2
A,-1
B,-1
F,-1
X,-1
A,-1
B,1
F,1
B,-2
B,1
B,-1
H,-1
B,1
X,-1
F,1
E,1
K,-2
I,-1
L,-1
J,-1
X,1
I,-2
K,1
J,1
L,-1
E,-1
K,-1
X,-1
I,2
B,-1
L,1
L,-2
L,3
I,1
E,1
I,-3
B,1
L,-3
J,-1
I,3
A,1
I,-1
A,-1
X,1
L,1
J,-1
L,-2
I,1
I,-4
L,1
K,2
F,-1
H,2
B,1
B,-2
B,1
I,1
B,-1
G,-1
H,-1
X,1
J,2
E,-1
G,1
B,1
H,2
F,-1
B,1
X,-2
X,1
H,-1
X,-1
X,1
A,2
X,1
G,3
H,1
A,-2
H,-2
H,1
H,1
A,1
X,-1
H,-1
F,1
H,-1
X,1
E,1
E,-1
X,-2
F,-1
H,1
H,1
D,2
F,1
A,-1
X,4
