car,move
X,-1
C,-1
D,-1
A,-2
B,-1
H,-1
B,-1
G,-1
F,2
E,2
E,-1
J,-1
K,-2
L,-4
I,-3
X,-1
X,1
K,1
K,1
E,1
B,1
A,1
E,-1
F,-1
H,3
H,-2
H,1
L,1
J,1
E,-1
X,1
A,-1
B,-1
H,1
G,-1
X,2
