car,move
A,-2
B,-1
C,-1
A,1
D,-1
G,-1
H,-1
F,1
E,1
J,-1
F,1
J,-1
K,-1
L,-2
A,-1
L,-1
A,1
K,1
J,2
E,-1
A,-1
F,-1
E,1
J,-1
B,-1
L,-1
X,-1
B,1
F,1
K,-2
L,2
I,-2
L,-1
X,-1
X,1
B,-1
G,-1
L,2
L,-1
J,-1
I,-2
L,2
K,2
X,2
I,1
J,1
X,-1
G,1
X,-1
J,-1
J,2
K,-1
L,-1
G,-1
E,-1
K,-1
X,-1
I,2
I,-2
L,-1
G,1
I,2
G,-1
X,1
L,2
I,1
G,1
B,1
K,2
K,-2
L,-3
L,3
I,-2
X,-1
X,1
L,-2
L,-1
I,2
K,1
X,1
B,-1
L,2
X,-2
L,1
K,1
F,-1
G,-1
G,1
B,1
E,1
X,2
X,-1
A,1
X,-1
F,1
E,1
A,-1
E,-2
E,1
K,-2
E,-1
L,-1
L,1
I,-2
X,1
B,-1
G,-1
I,-1
K,1
X,2
L,-3
K,1
F,-2
H,3
X,1
X,-2
G,3
X,2
D,2
C,1
