car,move
A,-1
J,-1
B,-1
I,2
H,1
C,-1
G,-1
H,-1
I,-1
B,1
H,-1
G,-1
I,1
H,1
X,1
F,1
K,-2
H,1
F,1
K,1
X,-1
F,-1
H,-1
I,-1
K,1
I,-1
G,1
J,1
A,1
K,-1
J,-1
I,2
K,1
H,1
E,1
F,-1
A,-1
L,-1
E,-1
H,-1
I,-2
B,-1
J,1
L,1
H,-1
B,1
A,1
J,-1
H,1
G,1
I,2
C,1
H,1
E,1
A,-1
D,-1
B,-1
C,-1
G,-1
F,1
K,-1
B,1
G,-1
X,1
K,1
D,1
F,-1
L,-1
D,-1
X,-1
L,-1
J,-2
E,2
H,-1
I,-3
H,1
E,-2
J,2
L,1
X,1
L,1
J,1
X,-1
G,1
A,1
E,1
F,1
E,1
H,-1
A,-1
G,-1
X,2
H,1
K,-1
E,-1
X,1
G,1
B,-1
I,-1
X,1
