car,move
C,-1
A,-1
G,-2
L,-2
J,-3
I,2
H,1
E,3
H,-1
D,-1
I,-3
H,1
E,-2
J,3
E,2
L,2
X,3
F,2
G,1
K,-1
B,-1
I,-1
X,1
