car,move
A,-1
C,-1
G,-1
J,-1
I,2
H,1
G,-1
F,1
F,-1
L,-2
E,1
J,-1
J,-1
E,2
H,-1
D,-1
I,-1
I,-2
H,1
E,-1
E,-1
J,3
E,2
L,1
G,1
B,-1
B,1
H,-1
B,-1
L,1
F,1
B,1
K,-1
H,1
H,-1
G,-1
K,1
I,1
X,3
D,1
K,-2
G,1
K,2
D,-1
F,-1
I,-1
I,1
A,1
I,-1
H,1
E,-1
L,-1
A,-1
E,1
B,-1
I,-1
H,-1
X,1
